Date,Time,Amazon Verified,Rating Score,Review Description,Review ID,Review Reaction,Review Title,User ID,Marketing Campaign,Order Value,Impressions,Clicks,Conversion Rate,Channel,Customer Segment,Product Category,SentimentLabel,SentimentScore
08-02-2022,20:59:11,TRUE,2,My orchids actually got worse after using this,RMXBLNMGPN411,190,Not effective,1d68787e-e2b7-419f-91f4-bed24fa24356,Monsoon Harvest Boost 2024,531.1,71457,1121,0.0157,Direct Traffic,Large Farm - Returning,Herbicides,NEGATIVE,0.976266146
11-03-2023,13:28:06,TRUE,5,Wonderful product! My orchids growing vigorously,R1DFYU3OJZCE6,85,Highly recommended,f6b903bc-4d3d-483d-9cc0-e1901675fe43,YieldMax Pro Launch,503.78,28801,2638,0.0916,Offline Events,Retailer - Tier 1,Fungicides,POSITIVE,0.989331365
13-09-2025,00:35:44,TRUE,4,The money plants in my garden are now growing faster thanks to this product,R8RSL9ZZJS3V4,96,Effective product,589b63e4-ea4e-47b5-b5db-ca73da9d6b4d,Pest Control Solutions Drive,2964.82,3068,99,0.0323,Search Ads,Small Farm - New,Insecticides,POSITIVE,0.982284427
13-08-2024,12:50:42,TRUE,4,My bonsai have never looked better - growing faster,R1SVIGY2HEOHW,140,Happy with purchase,a4727e82-a906-43f5-8dd0-c969c05637c7,Monsoon Harvest Boost 2024,1644.45,20442,144,0.007,Email Marketing,Large Farm - New,Plant Nutrients,POSITIVE,0.98617214
27-06-2022,17:39:56,TRUE,5,Works exactly as described on my orchids - growing faster,RUNRP7G8CGE3F,24,Great buy,f7236111-13a5-4064-aefa-fb3ef5187d1a,Organic Growth Initiative,4770.28,91023,3895,0.0428,Social Media,Small Farm - New,Fungicides,POSITIVE,0.966950536
06-11-2024,19:54:18,TRUE,2,"Did nothing for my money plants, very disappointed",R4CNRVPYLCK7N,109,Not effective,621bf12d-3c8d-4ba3-9b94-1399dbf09cc7,Monsoon Harvest Boost 2024,1783.06,73910,3021,0.0409,Social Media,Large Farm - New,Plant Nutrients,NEGATIVE,0.973439932
25-04-2023,23:47:02,TRUE,1,Expected better results with my orchids but leaves turning yellow,RXC65N2QY3JDG,96,Disappointed,ff5594f3-8a39-42cc-9727-93675bbf3efd,Organic Growth Initiative,1592.6,43517,705,0.0162,Social Media,Small Farm - Returning,Insecticides,NEGATIVE,0.556564033
18-03-2025,18:19:13,TRUE,4,My indoor plants have never looked better - recovered completely,RIC3OLIB7Z17Y,97,Happy with purchase,db7bfaac-957c-4453-8a46-73389e29fbcb,Organic Growth Initiative,1482.76,16726,25,0.0015,Direct Traffic,Retailer - Tier 2,Seeds,POSITIVE,0.982938349
07-03-2022,17:08:33,FALSE,4,Works exactly as described on my lawn - pest-free now,RFG2BFENAEY6Y,101,Happy with purchase,99406a14-dd72-45a1-aefd-74facb8b7e86,Organic Growth Initiative,486.24,14875,508,0.0342,Direct Traffic,Retailer - Tier 1,Seeds,POSITIVE,0.914851964
04-04-2024,06:22:53,TRUE,2,Overpriced and ineffective for fruit trees,RIWCQTT857LRN,159,Not effective,3de8490d-e25a-4f22-af8f-40bea25589bb,YieldMax Pro Launch,2346.57,74889,4757,0.0635,Direct Traffic,Retailer - Tier 2,Plant Nutrients,NEGATIVE,0.972350538
01-07-2023,17:21:25,TRUE,5,My vegetables have never looked better - recovered completely,RIBG2T2VUMIGJ,15,Happy with purchase,695cd375-b8ba-4aa4-bbbc-57908774a075,YieldMax Pro Launch,4549.8,75928,1552,0.0204,Search Ads,Retailer - Tier 1,Seeds,POSITIVE,0.982478976
14-11-2023,14:49:54,TRUE,5,"My herb garden are thriving with this product, looking healthier",RILDXDRO1MCBK,169,Amazing results!,50c461db-0069-4011-8567-1f03739f891a,Organic Growth Initiative,1297.38,87057,4947,0.0568,SMS Campaigns,Small Farm - Returning,Herbicides,POSITIVE,0.987295926
14-05-2025,19:17:49,TRUE,5,Significant improvement in indoor plants health and leaf color,RB4PYZW3OI0BY,138,Good product,8c0aada1-57a7-4078-8194-16a1ab5d90ee,YieldMax Pro Launch,1000.43,19030,327,0.0172,Social Media,Large Farm - New,Fungicides,POSITIVE,0.976605296
08-10-2022,22:25:34,TRUE,1,Overpriced and ineffective for succulents,RTRT5FEO8FAQG,96,Disappointed,1c72c787-a8ce-4101-9461-26ebfc5734e0,Pest Control Solutions Drive,1581.87,62474,1599,0.0256,Search Ads,Retailer - Tier 2,Plant Nutrients,NEGATIVE,0.974541068
03-08-2022,23:52:16,TRUE,5,Significant improvement in money plants health and flowering,RV1HDXPI435GI,128,Visible improvement,0797a5f0-1d63-4633-9f9d-96051117f122,Monsoon Harvest Boost 2024,4734.75,30102,1857,0.0617,Search Ads,Small Farm - New,Seeds,POSITIVE,0.959932685
14-05-2025,08:48:31,TRUE,5,This product saved my dying hibiscus - now they're pest-free now,R51XHTRGMW075,163,Highly recommended,f75b93c9-392c-441d-b901-511d7f864384,Farmer Connect Program,2145.11,38762,983,0.0254,Search Ads,Small Farm - New,Fungicides,POSITIVE,0.939146817
11-03-2024,14:35:59,TRUE,2,Complete waste of money for my hibiscus - not recovering,RKPA0CK6OICYJ,4,Don't buy,ce646cbc-e0c6-43f1-8b7c-18be62319e67,Farmer Connect Program,150.65,62621,366,0.0058,Offline Events,Large Farm - Returning,Herbicides,NEGATIVE,0.978437781
28-04-2024,04:52:04,TRUE,4,Visible difference in my terrace garden after 4 weeks,RCNTOZH64PX17,192,Great buy,5a044521-8fec-4e20-97bd-5eca622a8822,Monsoon Harvest Boost 2024,1612.2,41642,3272,0.0786,SMS Campaigns,Retailer - Tier 1,Seeds,NEUTRAL,0.969748557
10-11-2023,18:43:41,TRUE,5,Excellent results with my terrace garden - saw improvement in just 20 days,RWQWDZHHXISQ2,114,Amazing results!,b856815a-7201-420a-a5a4-e8af41614e32,Pest Control Solutions Drive,2750.1,43101,850,0.0197,Social Media,Large Farm - New,Digital Tools,POSITIVE,0.983751237
03-03-2023,12:09:56,FALSE,5,My vegetables have never looked better - producing more flowers,RNS2OEIQ51UOF,39,Effective product,b54d148e-5617-4f94-a273-50ad7b23f355,Monsoon Harvest Boost 2024,1218.18,85562,3010,0.0352,Search Ads,Large Farm - Returning,Plant Nutrients,POSITIVE,0.985980749
04-05-2023,09:08:19,TRUE,5,My terrace garden have never looked better - more vibrant colors,RN84QHDK99GZA,96,Effective product,1546de83-00da-41c0-90b4-07d18778fcd9,Pest Control Solutions Drive,657.06,10706,935,0.0873,Email Marketing,Retailer - Tier 2,Seeds,POSITIVE,0.986194849
11-04-2023,23:11:43,TRUE,2,Overpriced and ineffective for succulents,RUPXMSI474S0J,183,Not effective,aae1c773-8e1f-4bab-b4e4-7ac6465ae5fc,YieldMax Pro Launch,4028.13,73305,1073,0.0146,Referral,Small Farm - New,Fungicides,NEGATIVE,0.974541068
01-12-2023,00:15:54,TRUE,5,Significant improvement in money plants health and flowering,RGI4TJLR4IVTI,96,Works well,1afedc2a-28ad-4bc7-b5a3-8e6647c251fc,Pest Control Solutions Drive,851.74,93973,1857,0.0198,Search Ads,Retailer - Tier 1,Herbicides,POSITIVE,0.959932685
28-08-2022,12:46:44,FALSE,5,vegetables responded beautifully to this treatment,R6MWCX1V2YR97,77,Effective product,6930a66a-60c0-4a62-9455-50364b38b132,YieldMax Pro Launch,3109.64,4969,264,0.0531,Offline Events,Retailer - Tier 1,Herbicides,POSITIVE,0.965548575
23-12-2023,11:39:31,TRUE,5,My indoor plants have never looked better - producing more flowers,R7LBPQUZ4DKBG,40,Happy with purchase,488e6f18-8eb8-4e1e-b81f-cbb16c2f0f17,YieldMax Pro Launch,1277.2,13689,113,0.0083,Search Ads,Large Farm - Returning,Plant Nutrients,POSITIVE,0.986472011
25-04-2023,07:13:22,TRUE,2,"Did nothing for my fruit trees, very disappointed",RH3EG8L1ALUOA,13,Disappointed,c3178530-20b4-4ced-90d7-4f15cbcc6ca3,Monsoon Harvest Boost 2024,2183.09,35664,2989,0.0838,Search Ads,Large Farm - Returning,Herbicides,NEGATIVE,0.973605335
26-08-2024,04:07:48,TRUE,4,Works exactly as described on my terrace garden - blooming continuously,RO4ZESCXR7II1,156,Effective product,83a108a9-507c-4fec-bfb4-7e4d082a33ab,Organic Growth Initiative,4029.63,69069,3753,0.0543,Email Marketing,Retailer - Tier 1,Plant Nutrients,POSITIVE,0.984689713
08-01-2024,17:16:45,TRUE,5,orchids responded beautifully to this treatment,RTDOZLSQO0HYS,158,Effective product,bb913b17-0483-4023-9f8b-12b753918d94,Farmer Connect Program,1176.34,7731,607,0.0785,Direct Traffic,Small Farm - Returning,Plant Nutrients,POSITIVE,0.97885108
30-01-2022,10:02:10,TRUE,2,False claims - my vegetables show no difference,RFFE7IMGUQPIK,197,Don't buy,1e1a1e89-0cf8-4016-ba53-2e36c8db9702,Farmer Connect Program,1915.28,23699,1892,0.0798,Referral,Large Farm - New,Plant Nutrients,NEGATIVE,0.790088177
16-12-2022,07:39:02,TRUE,2,No visible change in my orchids condition,RXZRPOHHKXPAK,182,Disappointed,b3d9266d-44fe-4a48-bb11-9e54e0a9d9b9,YieldMax Pro Launch,4484.01,52712,2837,0.0538,SMS Campaigns,Small Farm - Returning,Herbicides,NEUTRAL,0.892687619
23-05-2024,01:33:01,TRUE,5,succulents responded beautifully to this treatment,RP4ML8OJM1EP3,193,Effective product,b84b3018-1e09-406f-89bd-3332ac887c7b,Monsoon Harvest Boost 2024,4824.37,21701,1676,0.0772,Offline Events,Large Farm - Returning,Seeds,POSITIVE,0.967264473
11-04-2024,07:55:22,TRUE,3,Average performance with my terrace garden - slight growth,RQU1XFUX1US6Q,164,Moderate effect,d0f33850-392e-4929-81f3-da6e31915b1e,Monsoon Harvest Boost 2024,95.87,75443,4947,0.0656,Social Media,Large Farm - New,Herbicides,POSITIVE,0.674208581
29-05-2023,16:47:48,TRUE,5,Wonderful product! My marigold recovered completely,R5G96QSKR6UWT,63,Amazing results!,b6b72447-b79f-44a3-9148-fba1c707307b,Organic Growth Initiative,479.35,88720,791,0.0089,Email Marketing,Small Farm - Returning,Seeds,POSITIVE,0.987815678
18-01-2022,18:21:18,TRUE,5,My fruit trees have never looked better - pest-free now,R9C8OG5OXVROM,96,Effective product,36e4ae62-7b72-4464-af89-88c7ce30f110,Organic Growth Initiative,3092.4,29721,557,0.0187,Direct Traffic,Small Farm - Returning,Seeds,POSITIVE,0.959001422
14-07-2024,13:34:23,TRUE,5,Works exactly as described on my herb garden - growing faster,RV2GP2K2JIK5B,14,Great buy,c656e214-c716-44d7-9308-3d942aa79914,YieldMax Pro Launch,625.39,27922,2398,0.0859,Direct Traffic,Small Farm - New,Plant Nutrients,POSITIVE,0.970353067
31-01-2023,06:51:09,TRUE,5,The bonsai in my garden are now recovered completely thanks to this product,RTQK1C2ZX2X1E,169,Effective product,dc16458c-8e9a-4669-882e-ebbb135b06b9,YieldMax Pro Launch,1903.58,51132,3684,0.072,SMS Campaigns,Large Farm - Returning,Seeds,POSITIVE,0.982282579
17-07-2022,19:50:36,TRUE,1,Overpriced and ineffective for succulents,RQ800AOJJT8C9,8,Not effective,128f5af2-6731-449c-a4a3-278b8f96fc8f,Monsoon Harvest Boost 2024,4056.92,55950,138,0.0025,Email Marketing,Small Farm - Returning,Fungicides,NEGATIVE,0.974541068
26-03-2023,08:31:23,TRUE,4,Excellent results with my fruit trees - saw improvement in just 13 days,R8WKKRT8VZIE9,96,Amazing results!,0870233a-7c91-49e7-b9ec-c017e91ea46e,Farmer Connect Program,4404.58,23955,1759,0.0734,Referral,Large Farm - Returning,Fungicides,POSITIVE,0.977145791
11-04-2023,20:39:12,TRUE,3,My succulents showed moderate growth but it took several applications,RDRHUAPTWKYK4,48,Okay results,9a40600e-01bf-4728-9e52-c5bfdc07c618,Organic Growth Initiative,1056.52,85765,657,0.0077,Direct Traffic,Large Farm - New,Fungicides,NEUTRAL,0.97087878
18-05-2024,03:27:21,TRUE,5,The succulents in my garden are now growing vigorously thanks to this product,R77WAW76QQRWP,166,Effective product,88bb7be0-8564-41c8-9929-fa6fd1f3a463,YieldMax Pro Launch,4579.88,73362,2644,0.036,SMS Campaigns,Large Farm - New,Seeds,POSITIVE,0.986470282
28-07-2025,11:26:51,TRUE,5,Works exactly as described on my terrace garden - recovered completely,RB7B1VQ0JLPA7,195,Effective product,0ebe4b6d-3841-4b73-8e5c-d5d55d768219,YieldMax Pro Launch,2870.46,33208,2055,0.0619,Referral,Retailer - Tier 2,Digital Tools,POSITIVE,0.899446845
29-01-2024,13:45:07,TRUE,2,"Did nothing for my bonsai, very disappointed",R6WZYIU2T104M,157,No results,119923aa-afbd-47c9-95bb-b99851d0f2ef,Pest Control Solutions Drive,95.25,67287,3745,0.0557,Search Ads,Small Farm - New,Plant Nutrients,NEGATIVE,0.976107597
26-01-2022,23:35:45,TRUE,3,Works somewhat for succulents but needs improvement,RJ9Z0TOTW3356,96,Moderate effect,e5921e22-1979-45f2-b090-2b58bbdea8eb,Organic Growth Initiative,4085.31,36038,3266,0.0906,Direct Traffic,Small Farm - New,Herbicides,POSITIVE,0.577013433
09-08-2023,21:54:02,TRUE,4,Visible difference in my herb garden after 4 weeks,RJ206HFSKU3J1,8,Great buy,ec4a795a-743e-4b86-9721-2c5f64669d49,Farmer Connect Program,2403.73,7102,86,0.0121,Offline Events,Large Farm - New,Plant Nutrients,NEUTRAL,0.857051313
09-01-2023,13:27:11,TRUE,5,Visible difference in my rose plants after 2 weeks,RKUOJDQSO2QC3,200,Happy with purchase,8422009a-1c38-446a-b885-44561e9a5634,Monsoon Harvest Boost 2024,1735.93,81460,4889,0.06,Direct Traffic,Large Farm - New,Fungicides,NEUTRAL,0.913963854
23-10-2024,07:38:02,TRUE,3,Takes too long to show results on bonsai,RDRA829DS5EC3,142,Average product,363f1b3b-77b0-40d2-af77-989b3823df24,YieldMax Pro Launch,1831.59,36358,428,0.0118,Email Marketing,Small Farm - New,Insecticides,NEGATIVE,0.646434724
19-05-2023,23:38:21,TRUE,5,Excellent results with my hibiscus - saw improvement in just 8 days,RV0ESQKZ8IO69,19,Highly recommended,7a5e08ed-a5d3-4a42-add8-8df0fbb49fe9,YieldMax Pro Launch,772.38,22916,1790,0.0781,Search Ads,Large Farm - Returning,Herbicides,POSITIVE,0.978477478
11-01-2022,12:18:20,TRUE,4,My herb garden have never looked better - fruiting abundantly,RYBMSBCTUZ4BY,147,Great buy,3785b4ee-d2e1-4f80-b2c8-ef7e5ac6d553,YieldMax Pro Launch,1605.21,53198,2624,0.0493,Search Ads,Retailer - Tier 2,Digital Tools,POSITIVE,0.986382365
07-11-2022,09:05:08,FALSE,2,Expected better results with my flowering plants but not responding,RLJOJYGPFAOTS,96,No results,2896ff96-528a-4258-8110-09e51338ffdc,YieldMax Pro Launch,738.94,40692,1001,0.0246,Search Ads,Retailer - Tier 2,Insecticides,NEGATIVE,0.464775473
05-12-2025,14:25:01,TRUE,1,This product damaged my bonsai - now they're not recovering,RXOJSCWJM3RNC,25,Harmful product,eb78352c-c985-4492-ba69-7f9a4cfaa61e,Monsoon Harvest Boost 2024,2837.94,85545,3283,0.0384,SMS Campaigns,Large Farm - New,Seeds,NEGATIVE,0.97674191
20-01-2024,23:00:38,FALSE,4,This product saved my dying bonsai - now they're more vibrant colors,R3EY4X5BG7HHF,42,Life saver for plants,17a7eb94-4ead-430a-99a2-2003ba012c41,Organic Growth Initiative,382.51,6856,127,0.0185,Social Media,Large Farm - New,Digital Tools,POSITIVE,0.982801259
25-10-2023,08:12:09,TRUE,3,Takes too long to show results on herb garden,RY8E6NF1M7LDP,50,Average product,da5cb7ff-3e78-4641-b436-3a4f903cbef0,Organic Growth Initiative,3774.01,9200,601,0.0653,Social Media,Retailer - Tier 1,Insecticides,NEUTRAL,0.631995857
27-06-2022,10:52:49,TRUE,5,My succulents have never looked better - pest-free now,RCUMTPAM344A6,162,Effective product,76bb9b71-e423-43b5-9eb1-97459f197a71,Farmer Connect Program,1972.89,79174,1139,0.0144,Referral,Large Farm - Returning,Seeds,POSITIVE,0.971684098
20-08-2024,05:16:40,FALSE,4,Wonderful product! My lawn looking healthier,R1C04TYIHOEUH,43,Life saver for plants,a44f9f26-890a-42d5-865b-6c51c1e9523b,Farmer Connect Program,202.76,29905,1206,0.0403,Social Media,Large Farm - New,Insecticides,POSITIVE,0.987666368
23-04-2024,16:27:57,TRUE,2,Would not recommend for lawn - not recovering,RTDT1PJZ3TRAZ,188,No results,937a0dcb-5e2b-4b0d-8df9-6366cdcffe79,Organic Growth Initiative,1775.46,12401,909,0.0733,SMS Campaigns,Small Farm - New,Insecticides,NEGATIVE,0.952515662
05-06-2025,04:59:53,TRUE,5,The tulsi in my garden are now looking healthier thanks to this product,R2CAJBPA9UZO3,82,Great buy,947a5862-2693-47cc-a64a-3c3ab196b180,Monsoon Harvest Boost 2024,4962.81,86969,1049,0.0121,Offline Events,Small Farm - Returning,Insecticides,POSITIVE,0.984240294
11-09-2024,07:21:18,TRUE,2,"Did nothing for my bonsai, very disappointed",RSREQPVGHKVU3,82,Disappointed,7dd01390-015e-422d-85ca-f2f117a81d35,Organic Growth Initiative,4258.03,71048,3268,0.046,Email Marketing,Large Farm - Returning,Insecticides,NEGATIVE,0.976107597
21-10-2025,00:30:06,TRUE,2,This product damaged my lawn - now they're not recovering,RO13SG4UF0Y7O,170,Harmful product,9e3f7305-8a51-4c36-a54b-1a9622b7d6e5,Organic Growth Initiative,836.94,36916,392,0.0106,Offline Events,Large Farm - New,Herbicides,NEGATIVE,0.977601767
29-12-2024,03:45:52,TRUE,1,My rose plants actually got worse after using this,R372LIG0C4UOH,198,Disappointed,e0526bf5-a097-46d3-9b6c-65daa7f8e991,YieldMax Pro Launch,492.19,14425,221,0.0153,Search Ads,Large Farm - New,Herbicides,NEGATIVE,0.978905678
06-10-2024,18:30:36,TRUE,1,"Did nothing for my succulents, very disappointed",R5C7QXMF7W54Q,153,Not effective,19467394-5ec0-4822-bbaf-8ef2d17c9657,YieldMax Pro Launch,1606.79,19327,517,0.0268,Search Ads,Retailer - Tier 2,Fungicides,NEGATIVE,0.972277045
21-10-2022,01:15:07,TRUE,5,Excellent results with my money plants - saw improvement in just 20 days,RQA1WYH4HLJZZ,120,Highly recommended,052cb526-9f6e-4a7e-a161-4b257cdd7039,Pest Control Solutions Drive,1964.85,75498,3457,0.0458,Search Ads,Retailer - Tier 1,Digital Tools,POSITIVE,0.971730351
04-12-2025,04:14:56,TRUE,3,Moderate results with my money plants - some new leaves,R2SIMIEP2JM9B,96,Okay results,4dc70b95-21c7-465f-8eae-d16aaa9ca03a,Pest Control Solutions Drive,4872.85,21365,1348,0.0631,Direct Traffic,Retailer - Tier 1,Digital Tools,NEUTRAL,0.804013491
30-06-2022,04:17:35,FALSE,4,Significant improvement in indoor plants health and flowering,RGLBQQ4PP5YIS,109,Visible improvement,8c8ac9d0-55be-4ea1-8d7b-2c33ceef6a13,Pest Control Solutions Drive,1890.75,99274,2211,0.0223,Offline Events,Small Farm - New,Fungicides,POSITIVE,0.975990832
16-02-2024,02:48:39,TRUE,4,The indoor plants in my garden are now recovered completely thanks to this product,RU65RWO4Q0U01,57,Effective product,67f786e9-853e-4d18-ad54-85b98db9f297,YieldMax Pro Launch,4605.12,24456,154,0.0063,Referral,Retailer - Tier 2,Digital Tools,POSITIVE,0.971326172
02-11-2025,02:47:53,TRUE,5,This product saved my dying marigold - now they're more vibrant colors,R18I1EVVRB3GD,96,Amazing results!,2fc87828-b6ef-46b0-837d-093b0b617e0f,Farmer Connect Program,3933.31,97937,1997,0.0204,Direct Traffic,Large Farm - New,Plant Nutrients,POSITIVE,0.981695533
07-02-2022,03:26:20,FALSE,3,Takes too long to show results on money plants,R8CUVY0NUQ3J8,96,Average product,6b15b00a-1b08-4f4a-8657-b27e0fccef1c,Monsoon Harvest Boost 2024,4864.17,19661,1467,0.0746,Search Ads,Small Farm - New,Fungicides,NEGATIVE,0.715532243
27-07-2022,09:45:25,TRUE,2,Overpriced and ineffective for herb garden,RMEL2N4AUXETB,42,Not effective,6bb16366-0635-4115-9218-192252f8973e,Organic Growth Initiative,1206.38,27569,567,0.0206,SMS Campaigns,Retailer - Tier 1,Fungicides,NEGATIVE,0.972405195
17-08-2025,06:50:22,TRUE,5,"My flowering plants are thriving with this product, fruiting abundantly",R45OTP1UB38CI,96,Life saver for plants,bbc9960e-cb07-43c4-b0f5-230dbe5e8d77,Organic Growth Initiative,4109.44,23789,137,0.0058,Direct Traffic,Large Farm - Returning,Plant Nutrients,POSITIVE,0.98842442
15-09-2023,06:46:20,TRUE,5,Wonderful product! My hibiscus producing more flowers,RDMNK9T02WF4W,96,Amazing results!,36c6f2ed-f985-4ced-9e2a-071f6980fe01,Monsoon Harvest Boost 2024,261.35,61423,424,0.0069,Email Marketing,Retailer - Tier 1,Seeds,POSITIVE,0.988548636
04-10-2025,08:25:35,TRUE,4,Significant improvement in flowering plants health and flowering,R5MMNHVH3DFNS,144,Works well,449a6911-3559-45cc-867a-efd62a30c8b1,Farmer Connect Program,3984.49,51134,2951,0.0577,Direct Traffic,Retailer - Tier 1,Seeds,POSITIVE,0.964897692
24-04-2025,10:00:39,FALSE,5,Wonderful product! My indoor plants more vibrant colors,RATGCL8588JSQ,81,Amazing results!,01fe44cf-846f-4418-87e8-6989026dbf88,Farmer Connect Program,4240.2,51911,2916,0.0562,SMS Campaigns,Small Farm - Returning,Insecticides,POSITIVE,0.988136292
20-10-2022,09:51:34,TRUE,2,This product damaged my marigold - now they're not responding,RUTYJ612L0HBM,96,Damaged my plants,d6d93b1b-98f4-4258-b0d6-8b1e4dbb9c33,Organic Growth Initiative,3598.84,43413,497,0.0114,Social Media,Small Farm - Returning,Plant Nutrients,NEGATIVE,0.973324597
07-09-2023,12:52:17,FALSE,4,Works exactly as described on my tulsi - growing vigorously,RLCBZQFNHBPKW,32,Effective product,fef86caf-03e7-49ab-bbdb-2f4884d42fac,Organic Growth Initiative,1155.02,78194,1446,0.0185,Direct Traffic,Large Farm - New,Digital Tools,POSITIVE,0.964759827
10-06-2025,10:30:27,TRUE,4,The herb garden in my garden are now producing more flowers thanks to this product,RY7KX5Q8Z6V3P,27,Effective product,8c9f9eda-557e-4361-865a-4273d2751f9e,YieldMax Pro Launch,106.41,28483,1032,0.0362,Offline Events,Small Farm - New,Herbicides,POSITIVE,0.983013093
30-06-2023,14:50:49,FALSE,4,My flowering plants have never looked better - looking healthier,RJ3HVNO52UABY,96,Happy with purchase,019d6bd7-e218-4dcb-9e11-fa40f53b0fb2,Organic Growth Initiative,892.02,50212,1328,0.0264,Offline Events,Small Farm - New,Plant Nutrients,POSITIVE,0.986786485
14-10-2025,04:24:22,TRUE,3,Works somewhat for terrace garden but needs improvement,RF1BZEJXJNA3E,96,Moderate effect,42d976c1-b579-49e2-9b28-0116922cd32e,YieldMax Pro Launch,810.27,48294,41,0.0008,Direct Traffic,Small Farm - New,Herbicides,POSITIVE,0.604712844
29-06-2022,10:29:05,TRUE,5,"My fruit trees are thriving with this product, looking healthier",RBEHN3J6VDG9G,96,Amazing results!,8b5af677-1934-4975-aaa7-f42b6ea93f1d,Organic Growth Initiative,2843.02,20808,406,0.0195,Social Media,Retailer - Tier 2,Herbicides,POSITIVE,0.987880528
25-12-2025,14:05:04,TRUE,4,Excellent results with my lawn - saw improvement in just 20 days,RHVH2WPIWSOM4,20,Highly recommended,2fac72aa-ca6c-4e25-831c-6dbaece9611b,Pest Control Solutions Drive,4747.85,22910,877,0.0383,SMS Campaigns,Small Farm - Returning,Insecticides,POSITIVE,0.977246165
03-02-2025,12:21:53,TRUE,3,Takes too long to show results on flowering plants,RW2DEB9GVSMIF,25,Okay results,45c95401-f87d-4403-8dfc-d5f5f12a73a8,Pest Control Solutions Drive,783.59,78061,4783,0.0613,SMS Campaigns,Small Farm - New,Fungicides,NEUTRAL,0.590092063
03-08-2024,23:45:16,TRUE,2,My marigold actually got worse after using this,RH6EMOEEVO1H9,58,Not effective,a145cac8-70e5-42f8-9fe0-c81520ae4d0f,Monsoon Harvest Boost 2024,1722.44,40722,1283,0.0315,Search Ads,Large Farm - Returning,Digital Tools,NEGATIVE,0.978480101
19-11-2025,23:14:35,TRUE,5,This product saved my dying money plants - now they're blooming continuously,RTQRVTI5BI4UV,92,Amazing results!,a65a50c1-da1b-48d1-aff0-47405f69ebe5,Pest Control Solutions Drive,1004.18,27309,246,0.009,Email Marketing,Small Farm - New,Seeds,POSITIVE,0.985325396
